,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000175XA_Sa_0.2g,0.5759343452035639,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000175XA_Sa_0.3g,0.8639015178053456,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000175XA_Sa_0.4g,1.1518686904071278,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000175XA_Sa_0.5g,1.4398358630089096,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000175XA_Sa_0.6g,1.7278030356106913,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000175XA_Sa_0.7g,2.0157702082124733,6.867,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
000175XA_Sa_0.8g,2.3037373808142556,7.848000000000001,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2
000175XA_Sa_0.9g,2.5917045534160374,8.829,3.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,2
000175XA_Sa_1.0g,2.8796717260178193,9.81,4.0,4.0,3.0,3.0,3.0,4.0,0.0,0.0,2
000175XA_Sa_1.1g,3.167638898619601,10.791000000000002,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3
000175XA_Sa_1.2g,3.4556060712213825,11.772,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3
000175XA_Sa_1.3g,3.7435732438231653,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000175XA_Sa_1.4g,4.031540416424947,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000175XA_Sa_1.5g,4.3195075890267285,14.715,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000198XA_Sa_0.1g,0.2932970272067687,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000198XA_Sa_0.2g,0.5865940544135374,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000198XA_Sa_0.3g,0.8798910816203058,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000198XA_Sa_0.4g,1.1731881088270748,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000198XA_Sa_0.5g,1.4664851360338433,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000198XA_Sa_0.6g,1.7597821632406117,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000198XA_Sa_0.7g,2.0530791904473804,6.867,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2
000198XA_Sa_0.8g,2.3463762176541496,7.848000000000001,4.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,3
000198XA_Sa_0.9g,2.639673244860918,8.829,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3
000198XA_Sa_1.0g,2.9329702720676867,9.81,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2
000198XA_Sa_1.1g,3.2262672992744554,10.791000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000198XA_Sa_1.2g,3.5195643264812233,11.772,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
