,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000591XA_Sa_0.9g,2.190161407543355,8.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000591XA_Sa_1.0g,2.4335126750481724,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000591XA_Sa_1.1g,2.67686394255299,10.791000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000591XA_Sa_1.2g,2.920215210057807,11.772,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
000591XA_Sa_1.3g,3.163566477562624,12.753000000000002,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3
000591XA_Sa_1.4g,3.4069177450674415,13.734,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4
000591XA_Sa_1.5g,3.6502690125722586,14.715,4.0,4.0,2.0,4.0,0.0,4.0,0.0,0.0,4
000593XA_Sa_0.1g,1.4133226831085048,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000593XA_Sa_0.2g,2.8266453662170097,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000593XA_Sa_0.3g,4.2399680493255145,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000593XA_Sa_0.4g,5.653290732434019,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000593XA_Sa_0.5g,7.066613415542524,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000593XA_Sa_0.6g,8.479936098651029,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000593XA_Sa_0.7g,9.893258781759533,6.867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
000593XA_Sa_0.8g,11.306581464868039,7.848000000000001,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2
000593XA_Sa_0.9g,12.719904147976543,8.829,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2
000593XA_Sa_1.0g,14.133226831085048,9.81,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2
000593XA_Sa_1.1g,15.546549514193554,10.791000000000002,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,2
000593XA_Sa_1.2g,16.959872197302058,11.772,2.0,2.0,4.0,3.0,0.0,3.0,0.0,0.0,3
000593XA_Sa_1.3g,18.373194880410562,12.753000000000002,3.0,2.0,4.0,4.0,1.0,3.0,0.0,0.0,3
000593XA_Sa_1.4g,19.786517563519066,13.734,4.0,3.0,4.0,4.0,3.0,4.0,0.0,0.0,4
000593XA_Sa_1.5g,21.19984024662757,14.715,4.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,4
000622XA_Sa_0.1g,0.712137807459496,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000622XA_Sa_0.2g,1.424275614918992,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000622XA_Sa_0.3g,2.1364134223784874,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000622XA_Sa_0.4g,2.848551229837984,3.9240000000000004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4
000622XA_Sa_0.5g,3.5606890372974793,4.905,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,4
000622XA_Sa_0.6g,4.272826844756975,5.886,4.0,4.0,4.0,3.0,3.0,4.0,4.0,0.0,4
000622XA_Sa_0.7g,4.984964652216471,6.867,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000622XA_Sa_0.8g,5.697102459675968,7.848000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000622XA_Sa_0.9g,6.409240267135463,8.829,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000622XA_Sa_1.0g,7.121378074594959,9.81,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4
000622XA_Sa_1.1g,7.833515882054455,10.791000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000622XA_Sa_1.2g,8.54565368951395,11.772,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000622XA_Sa_1.3g,9.257791496973446,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000622XA_Sa_1.4g,9.969929304432942,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000622XA_Sa_1.5g,10.682067111892437,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000766XA_Sa_0.1g,0.9457415205460096,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
